scientificName,taxonKey,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,occurrenceStatus,continent,countryCode,stateProvince,island,decimalLatitude,decimalLongitude,elevation,elevationAccuracy,coordinateUncertaintyInMeters,eventDate,year,month,day,lon_norm,lat_norm,sea_surface_temperature,mixed_layer_depth,zonal_current,meridional_current
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,MV,,,4.179925,73.509617,,,,2025-02-09 20:06:43,2025.0,2.0,9.0,73.509617,4.179925,,,,
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,LK,Gampaha,,7.210245,79.831384,,,183.0,2025-02-22 05:41:15,2025.0,2.0,22.0,79.831384,7.210245,,,,
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,PH,Batangas,,13.7108,120.897259,,,985.0,,2025.0,3.0,2.0,120.897259,13.7108,30.28812523931265,7.171850070357323,-0.01892147585749626,0.03784295171499252
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,LK,Galle,,6.033374,80.217667,,,,,2025.0,4.0,21.0,80.217667,6.033374,,,,
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,LK,Matara,,5.971575,80.426917,,,4.0,,2025.0,4.0,20.0,80.426917,5.971575,28.111300997436047,10.528886273503304,-0.4992828145623207,0.19592883065342903
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,IN,Karnataka,,13.346714,74.701211,,,,2025-05-08 06:30:23,2025.0,5.0,8.0,74.701211,13.346714,,,,
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,ID,Sulawesi Utara,,1.513511,124.890417,,,,2025-06-25 18:24:35,2025.0,6.0,25.0,124.890417,1.513511,31.79842523485422,9.15555328130722,0.062257759273052216,-0.15503402799367905
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,1.0,,,,,PRESENT,ASIA,VN,Phú Yên,,13.088,109.309,,,,,2025.0,8.0,24.0,109.309,13.088,,,,
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,1.0,,,,,PRESENT,ASIA,VN,Phú Yên,,13.088,109.309,,,,,2025.0,8.0,24.0,109.309,13.088,,,,
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,ID,Bali,,-8.356305,115.715422,,,4.0,2025-12-12 07:37:01,2025.0,12.0,12.0,115.715422,-8.356305,,,,
"Pampus argenteus (Euphrasen, 1788)",2397682.0,,,,,,PRESENT,ASIA,CN,Zhejiang,,29.822387,122.337021,,,29433.0,2025-05-17 15:24:22,2025.0,5.0,17.0,122.337021,29.822387,30.10867640376091,10.528886273503304,0.15503402799367905,-0.47975096851587296
"Pampus argenteus (Euphrasen, 1788)",2397682.0,,,,,,PRESENT,ASIA,CN,Shandong,,36.181158,120.277306,,,,2025-09-07 09:50:27,2025.0,9.0,7.0,120.277306,36.181158,,,,
