scientificName,decimalLatitude,decimalLongitude,eventDate
Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z
Thunnus,-9.3695186,46.450737,2023-03-27T04:59:15Z
Thunnus,-9.3695186,46.450737,2023-03-27T04:59:15Z
Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z
Thunnus,-9.4461709,46.2109879,2023-04-24T04:51:48Z
Thunnus,-9.3695186,46.450737,2023-03-27T05:23:53Z
Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z
Thunnus,-9.42518,46.2253634,2023-04-24T06:49:41Z
Thunnus,-9.4461709,46.2109879,2023-04-24T04:51:48Z
Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z
Thunnus,-9.4461709,46.2109879,2023-04-24T04:55:32Z
Thunnus,-9.400901,46.206047,2023-04-02T10:43:31Z
Thunnus,-9.4011713,46.2057637,2023-04-02T12:25:14Z
Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z
Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z
Thunnus,-9.400901,46.206047,2023-04-02T10:43:31Z
Thunnus,-9.400901,46.206047,2023-04-02T10:43:31Z
Thunnus,-9.3695186,46.450737,2023-03-27T04:37:49Z
Thunnus albacares,25.868318,131.337948,2024-05-02T22:40:00+09:00
"Katsuwonus pelamis (Linnaeus, 1758)",19.9316,-156.064225,2025-01-14T11:43
"Katsuwonus pelamis (Linnaeus, 1758)",4.179925,73.509617,2025-02-09T20:06:43
"Katsuwonus pelamis (Linnaeus, 1758)",7.210245,79.831384,2025-02-22T05:41:15
"Katsuwonus pelamis (Linnaeus, 1758)",-36.699842,-56.674602,2025-02-26T07:01:29
"Katsuwonus pelamis (Linnaeus, 1758)",-37.59994,176.461099,2025-02-01T14:12
"Katsuwonus pelamis (Linnaeus, 1758)",-37.59994,176.461099,2025-02-01T14:11
"Katsuwonus pelamis (Linnaeus, 1758)",-37.59994,176.461099,2025-02-01T14:11
"Katsuwonus pelamis (Linnaeus, 1758)",-37.59994,176.461099,2025-02-01T14:11
"Katsuwonus pelamis (Linnaeus, 1758)",10.665447,-85.68425,2025-02-11T10:10:29
"Katsuwonus pelamis (Linnaeus, 1758)",13.7108,120.897259,2025-03-02T15:15
"Katsuwonus pelamis (Linnaeus, 1758)",-39.773297,174.488056,2025-04-13T12:25:53
"Katsuwonus pelamis (Linnaeus, 1758)",6.033374,80.217667,2025-04-21T07:06
"Katsuwonus pelamis (Linnaeus, 1758)",5.971575,80.426917,2025-04-20T16:50
"Katsuwonus pelamis (Linnaeus, 1758)",13.346714,74.701211,2025-05-08T06:30:23
"Katsuwonus pelamis (Linnaeus, 1758)",16.592692,-22.907067,2025-05-01T19:54:52
"Katsuwonus pelamis (Linnaeus, 1758)",26.124914,-94.899583,2025-05-03T18:11:12
"Katsuwonus pelamis (Linnaeus, 1758)",21.587596,-157.65628,2025-05-27T08:40:28
"Katsuwonus pelamis (Linnaeus, 1758)",-0.181509,-80.286716,2025-05-01T19:28:35
"Katsuwonus pelamis (Linnaeus, 1758)",-14.296836,-178.158108,2025-06-30T18:56
"Katsuwonus pelamis (Linnaeus, 1758)",-17.478229,-149.871272,2025-06-28T14:10
"Katsuwonus pelamis (Linnaeus, 1758)",-17.480321,-149.870173,2025-06-28T11:10
"Katsuwonus pelamis (Linnaeus, 1758)",19.282587,-81.399942,2025-06-24T10:09:39
"Katsuwonus pelamis (Linnaeus, 1758)",-4.321895,129.561471,2025-06-24T07:56
"Katsuwonus pelamis (Linnaeus, 1758)",-4.447092,129.812737,2025-06-24T07:56
"Katsuwonus pelamis (Linnaeus, 1758)",1.513511,124.890417,2025-06-25T18:24:35
"Katsuwonus pelamis (Linnaeus, 1758)",25.726742,-80.155547,2025-07-27T15:23:46
"Katsuwonus pelamis (Linnaeus, 1758)",21.547013,-157.723866,2025-07-27T04:28
"Katsuwonus pelamis (Linnaeus, 1758)",-11.432715,41.138658,2025-07-30T16:39
"Katsuwonus pelamis (Linnaeus, 1758)",-11.432715,41.138658,2025-07-30T16:39
"Katsuwonus pelamis (Linnaeus, 1758)",-11.432715,41.138658,2025-07-30T16:39
"Katsuwonus pelamis (Linnaeus, 1758)",27.769229,-15.717487,2025-08-02
"Katsuwonus pelamis (Linnaeus, 1758)",57.050889,-135.330482,2025-08-29T12:42:13
"Katsuwonus pelamis (Linnaeus, 1758)",57.050994,-135.329239,2025-08-29T13:49
"Katsuwonus pelamis (Linnaeus, 1758)",57.051006,-135.330963,2025-08-29T13:26:48
"Katsuwonus pelamis (Linnaeus, 1758)",13.088,109.309,2025-08-24
"Katsuwonus pelamis (Linnaeus, 1758)",13.088,109.309,2025-08-24
"Katsuwonus pelamis (Linnaeus, 1758)",-10.959055,41.307781,2025-08-02T07:32
"Katsuwonus pelamis (Linnaeus, 1758)",-10.744874,41.475314,2025-08-02T07:32
"Katsuwonus pelamis (Linnaeus, 1758)",-10.607561,41.273195,2025-08-02T15:25
"Katsuwonus pelamis (Linnaeus, 1758)",-10.959055,41.307781,2025-08-02T07:32
"Katsuwonus pelamis (Linnaeus, 1758)",-10.744874,41.475314,2025-08-02T08:58
"Katsuwonus pelamis (Linnaeus, 1758)",-10.744518,41.477202,2025-08-02T15:26
"Katsuwonus pelamis (Linnaeus, 1758)",-10.959055,41.307781,2025-08-02T07:32
"Katsuwonus pelamis (Linnaeus, 1758)",25.1644,-80.386864,2025-09-15T18:11:46
"Katsuwonus pelamis (Linnaeus, 1758)",39.905944,-69.696078,2025-09-30T06:57:08
"Katsuwonus pelamis (Linnaeus, 1758)",39.906061,-69.695247,2025-09-30T06:49:22
"Katsuwonus pelamis (Linnaeus, 1758)",12.621016,-80.445332,2025-10-10T16:44
"Katsuwonus pelamis (Linnaeus, 1758)",22.202063,120.083122,2025-11-15T08:07:39
"Katsuwonus pelamis (Linnaeus, 1758)",26.54285,-80.013574,2025-11-09T11:00
"Katsuwonus pelamis (Linnaeus, 1758)",-20.971898,55.482314,2025-11-14T10:28:02
"Katsuwonus pelamis (Linnaeus, 1758)",26.579206,-95.618941,2025-11-22T14:11
"Katsuwonus pelamis (Linnaeus, 1758)",14.73974,-61.19298,2025-11-30T14:37
"Katsuwonus pelamis (Linnaeus, 1758)",-8.356305,115.715422,2025-12-12T07:37:01
"Katsuwonus pelamis (Linnaeus, 1758)",28.244892,140.779095,2024-01-02T07:28
"Katsuwonus pelamis (Linnaeus, 1758)",13.710148,123.597992,2024-02-09T06:39
"Katsuwonus pelamis (Linnaeus, 1758)",-34.62378,21.05925,2024-02-29T16:59
"Katsuwonus pelamis (Linnaeus, 1758)",19.716067,-156.166377,2024-03-27T14:42:12
"Katsuwonus pelamis (Linnaeus, 1758)",8.36942,-52.29295,2024-04-05T15:58
"Katsuwonus pelamis (Linnaeus, 1758)",34.570362,138.569503,2024-04-21T10:36:04
"Katsuwonus pelamis (Linnaeus, 1758)",13.4999,120.955795,2024-04-25T13:32:30
"Katsuwonus pelamis (Linnaeus, 1758)",10.558459,72.632411,2024-04-20T19:09
"Katsuwonus pelamis (Linnaeus, 1758)",-23.125328,113.705535,2024-04-29T09:52
"Katsuwonus pelamis (Linnaeus, 1758)",27.952798,-97.159983,2024-05-19T19:12:52
"Katsuwonus pelamis (Linnaeus, 1758)",36.626624,2.656647,2024-05-06T09:07
"Katsuwonus pelamis (Linnaeus, 1758)",-17.401838,-149.934235,2024-05-21T09:25
"Katsuwonus pelamis (Linnaeus, 1758)",28.928155,-80.511567,2024-06-08T19:26
"Katsuwonus pelamis (Linnaeus, 1758)",37.122548,-74.586125,2024-07-21T12:46:07
BOLD:AAA5421,6.171161,-77.54933,2024-07-28
BOLD:AAA5421,6.171161,-77.54933,2024-07-28
BOLD:AAA5421,5.686269,-77.60343,2024-07-28
"Katsuwonus pelamis (Linnaeus, 1758)",6.17116,-77.54933,2024-07-28
"Katsuwonus pelamis (Linnaeus, 1758)",6.17116,-77.54933,2024-07-28
"Katsuwonus pelamis (Linnaeus, 1758)",5.68627,-77.60343,2024-07-28
"Katsuwonus pelamis (Linnaeus, 1758)",36.791065,3.051031,2024-08-08T09:07
"Katsuwonus pelamis (Linnaeus, 1758)",38.564033,-28.148878,2024-08-06T11:40:20Z
"Katsuwonus pelamis (Linnaeus, 1758)",35.508959,-74.792408,2024-08-29T12:43:26
"Katsuwonus pelamis (Linnaeus, 1758)",15.379307,109.095116,2024-08-30T05:50
