fish_type,genus,decimalLatitude,decimalLongitude,eventDate,occurrenceStatus,source
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:51:48Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:51:48Z,1.0,obis
Ca Ngu,Thunnus,-9.3695186,46.450737,2023-03-27T04:59:15Z,1.0,obis
Ca Ngu,Thunnus,-9.42518,46.2253634,2023-04-24T06:49:41Z,1.0,obis
Ca Ngu,Thunnus,-9.3695186,46.450737,2023-03-27T04:37:49Z,1.0,obis
Ca Ngu,Thunnus,-9.42518,46.2253634,2023-04-24T06:49:41Z,1.0,obis
Ca Ngu,Thunnus,25.937317,131.353883,2024-05-08T21:50:00+09:00,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z,1.0,obis
Ca Ngu,Thunnus,-9.42518,46.2253634,2023-04-24T06:44:22Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z,1.0,obis
Ca Ngu,Thunnus,-9.400901,46.206047,2023-04-02T10:48:42Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:47:27Z,1.0,obis
Ca Ngu,Thunnus,-9.4011713,46.2057637,2023-04-23,1.0,obis
Ca Ngu,Thunnus,-9.400901,46.206047,2023-04-02T10:43:31Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:51:48Z,1.0,obis
Ca Ngu,Thunnus,25.868318,131.337948,2024-05-02T22:40:00+09:00,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:51:48Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:51:48Z,1.0,obis
Ca Ngu,Thunnus,-9.4011713,46.2057637,2023-04-02T12:25:14Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:51:48Z,1.0,obis
Ca Ngu,Thunnus,25.869853,131.332943,2024-05-05T22:30:00+09:00,1.0,obis
Ca Ngu,Thunnus,-9.42518,46.2253634,2023-04-24T06:47:10Z,1.0,obis
Ca Ngu,Thunnus,-9.4011713,46.2057637,2023-04-23,1.0,obis
Ca Ngu,Thunnus,-9.3695186,46.450737,2023-03-27T04:09:49Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:51:48Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z,1.0,obis
Ca Ngu,Thunnus,-9.4011713,46.2057637,2023-04-23,1.0,obis
Ca Ngu,Thunnus,-9.400901,46.206047,2023-04-02T10:48:42Z,1.0,obis
Ca Ngu,Thunnus,-9.4011713,46.2057637,2023-04-23,1.0,obis
Ca Ngu,Thunnus,-9.4011713,46.2057637,2023-04-23,1.0,obis
Ca Ngu,Thunnus,-9.3695186,46.450737,2023-03-27T04:59:15Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:51:48Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z,1.0,obis
Ca Ngu,Thunnus,-9.3695186,46.450737,2023-03-27T04:59:15Z,1.0,obis
Ca Ngu,Thunnus,-9.3695186,46.450737,2023-03-27T04:59:15Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:51:48Z,1.0,obis
Ca Ngu,Thunnus,-9.3695186,46.450737,2023-03-27T05:23:53Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z,1.0,obis
Ca Ngu,Thunnus,-9.42518,46.2253634,2023-04-24T06:49:41Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:51:48Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:55:32Z,1.0,obis
Ca Ngu,Thunnus,-9.400901,46.206047,2023-04-02T10:43:31Z,1.0,obis
Ca Ngu,Thunnus,-9.4011713,46.2057637,2023-04-02T12:25:14Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z,1.0,obis
Ca Ngu,Thunnus,-9.4461709,46.2109879,2023-04-24T04:45:11Z,1.0,obis
Ca Ngu,Thunnus,-9.400901,46.206047,2023-04-02T10:43:31Z,1.0,obis
Ca Ngu,Thunnus,-9.400901,46.206047,2023-04-02T10:43:31Z,1.0,obis
Ca Ngu,Thunnus,-9.3695186,46.450737,2023-03-27T04:37:49Z,1.0,obis
Ca Ngu,Thunnus,25.868318,131.337948,2024-05-02T22:40:00+09:00,1.0,obis
Ca Trich,Amblygaster,22.83806,121.189425,2020-03-10,1.0,gbif
Ca Trich,Amblygaster,22.836917,121.189351,2021-06-09,1.0,gbif
Ca Trich,Anodontostoma,5.679,102.7122,2022-01-17,1.0,gbif
Ca Trich,Anodontostoma,5.668,102.735,2023-01-25,1.0,gbif
Ca Trich,Anodontostoma,21.703521,89.261482,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703521,89.261482,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.828443,89.195,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703521,89.261482,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754752,89.283835,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.828443,89.195,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703521,89.261482,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.828443,89.195,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.75474,89.283996,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793313,89.281088,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75658,89.223058,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703521,89.261482,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.828443,89.195,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703521,89.261482,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.828443,89.195,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.75474,89.283996,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.754946,89.283766,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.75658,89.223058,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703917,89.260995,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.793305,89.280875,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703521,89.261482,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.827841,89.195423,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.828443,89.195,2023-01-08,1.0,gbif
Ca Trich,Anodontostoma,21.703521,89.261482,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703926,89.261013,2023-01-09,1.0,gbif
Ca Trich,Anodontostoma,21.703931,89.261001,2023-01-09,1.0,gbif
